node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7924	[7924] cluster grif-1	WBGene00003784	nos-2	10104.13	0.83	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; P4 WBbt:0006773; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00021763	grif-1	27723.26	0.793	True	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00006619	try-1	2487.11	0.732	False	germline precursor cell WBbt:0006849	ABalappaap WBbt:0006727; CAN WBbt:0006827; nervous system WBbt:0005735; germ line WBbt:0005784; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00021153	Y4C6A.3	2135.73	0.711	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00021596	spsb-2	4410.96	0.688	True	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00020199	metl-9	1353.0	0.595	True	germline precursor cell WBbt:0006849	K' cell WBbt:0004497; Q cell WBbt:0008598; ABplppaapa WBbt:0006205; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; CAN WBbt:0006827; gonadal primordium WBbt:0008366; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprppaaaap WBbt:0006283; ABprpaaapa WBbt:0006149; ABplaapappp WBbt:0006387; F cell WBbt:0004799; ABarpapaaa WBbt:0006207; K cell WBbt:0004499; B cell WBbt:0003825; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; ABplppaaaap WBbt:0006414; germ line WBbt:0005784; ABplaaaaaa WBbt:0006330; germline precursor cell WBbt:0006849; U cell WBbt:0004942; cephalic sheath cell WBbt:0008406
7924	[7924] cluster grif-1	WBGene00011834	dvc-1	1975.71	0.593	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ABalppppaa WBbt:0006526; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; oocyte WBbt:0006797; pharynx WBbt:0003681; ABpraaapaa WBbt:0006114; germ line WBbt:0005784; germline precursor cell WBbt:0006849; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7924	[7924] cluster grif-1	WBGene00019795	M151.3	141.25	0.562	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7924	[7924] cluster grif-1	WBGene00004354	rgs-11	716.24	0.538	False	germline precursor cell WBbt:0006849	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; Z1.p WBbt:0007023; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; male distal tip cell WBbt:0006864; ASI WBbt:0005666; Z4.a WBbt:0007025; AWA WBbt:0005670; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; ABplapaaaa WBbt:0006221; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; ASE WBbt:0005663; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraaappp WBbt:0006194
7924	[7924] cluster grif-1	WBGene00044325	tag-321	708.9	0.501	True	germline precursor cell WBbt:0006849	AVL WBbt:0003843; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
