node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7926	[7926] cluster cpg-3	WBGene00011898	T21C9.13	1741.07	0.795	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; BAG WBbt:0006825; epithelial system WBbt:0005730; oocyte WBbt:0006797; AWCR WBbt:0003826; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; germline precursor cell WBbt:0006849; AWCL WBbt:0003827; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
7926	[7926] cluster cpg-3	WBGene00011063	cpg-3	5943.11	0.794	True	germ line WBbt:0005784	I5 neuron WBbt:0004740; Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; AVK WBbt:0006823; pharynx WBbt:0003681; anal sphincter muscle WBbt:0005798; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; intestinal muscle WBbt:0005796; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
7926	[7926] cluster cpg-3	WBGene00011320	T01C3.3	954.71	0.782	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7926	[7926] cluster cpg-3	WBGene00011689	T10C6.7	565.34	0.766	True	germ line WBbt:0005784	VB5 WBbt:0004637; VB7 WBbt:0004631; ABplpppppp WBbt:0005960; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; ABprpppppp WBbt:0006430; anterior ganglion WBbt:0005375; AVD WBbt:0006818; PDE socket cell WBbt:0008421; DA9 WBbt:0004857; VA12 WBbt:0004645; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; VA5 WBbt:0004864; CEPsoVL WBbt:0004918; VA11 WBbt:0004647; VA3 WBbt:0004868; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; B cell WBbt:0003825; VB6 WBbt:0004633; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; AVB WBbt:0005841; VA7 WBbt:0004860; germ line WBbt:0005784; VB1 WBbt:0004643; CEPsoDL WBbt:0004921; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
7926	[7926] cluster cpg-3	WBGene00013127	Y52B11A.8	362.91	0.73	True	germ line WBbt:0005784	anterior ganglion WBbt:0005375; BAG WBbt:0006825; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; CEPsoDL WBbt:0004921; reproductive system WBbt:0005747
7926	[7926] cluster cpg-3	WBGene00019905	R05G9.3	109.07	0.724	True	germ line WBbt:0005784	ABplpppaapa WBbt:0006503; ABprpppaapa WBbt:0006549; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive system WBbt:0005747
7926	[7926] cluster cpg-3	WBGene00015912	fbxc-50	556.6	0.722	True	germ line WBbt:0005784	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; ABpraaaappp WBbt:0006247; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ABprapppapp WBbt:0006743; gonadal primordium WBbt:0008366; ABplaaaaapp WBbt:0006428; ABalppppppp WBbt:0006599; oocyte WBbt:0006797; ABplaapappp WBbt:0006387; pharynx WBbt:0003681; ABplapppapp WBbt:0005970; ABpraapappp WBbt:0005862; ABalpppppp WBbt:0006396; germ line WBbt:0005784; striated muscle WBbt:0005779; ABarpapaapp WBbt:0006075; muscular system WBbt:0005737; reproductive system WBbt:0005747; ABpraaappp WBbt:0006194
7926	[7926] cluster cpg-3	WBGene00016822	C50E3.11	99.07	0.715	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVH WBbt:0006821; somatic nervous system WBbt:0005760; oocyte WBbt:0006797; lateral ganglion left WBbt:0005103; germ line WBbt:0005784
7926	[7926] cluster cpg-3	WBGene00020948	era-1	638.57	0.714	True	germ line WBbt:0005784	AIM WBbt:0006814; hermaphrodite WBbt:0007849; AB WBbt:0004015; BAG WBbt:0006825; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7926	[7926] cluster cpg-3	WBGene00017263	F08F3.6	651.94	0.704	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; AB WBbt:0004015; oocyte WBbt:0006797; nervous system WBbt:0005735; RID WBbt:0003938; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
