node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7928	[7928] cluster ife-1	WBGene00018783	cbs-2	736.18	0.728	True	male WBbt:0007850	K' cell WBbt:0004497; lateral ganglion right WBbt:0005101; AVH WBbt:0006821; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; AVK WBbt:0006823; K cell WBbt:0004499; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
7928	[7928] cluster ife-1	WBGene00019773	M04G7.2	342.64	0.719	True	male WBbt:0007850	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; germ line WBbt:0005784; striated muscle WBbt:0005779; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747
7928	[7928] cluster ife-1	WBGene00235383	ZK616.65	381.63	0.713	False	male WBbt:0007850	MC neuron WBbt:0003638; corpus WBbt:0003733; pharynx WBbt:0003681
7928	[7928] cluster ife-1	WBGene00019096	cysl-4	309.37	0.651	True	male WBbt:0007850	germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
7928	[7928] cluster ife-1	WBGene00022753	ZK484.7	309.52	0.641	True	male WBbt:0007850	somatic nervous system WBbt:0005760; AVK WBbt:0006823; male WBbt:0007850
7928	[7928] cluster ife-1	WBGene00015024	B0205.10	2368.61	0.639	True	male WBbt:0007850	epithelial system WBbt:0005730; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
7928	[7928] cluster ife-1	WBGene00014103	best-26	402.17	0.636	True	male WBbt:0007850	SIB WBbt:0005359; SIA WBbt:0005361; corpus WBbt:0003733; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; anal depressor muscle WBbt:0004292; NSM WBbt:0003666; male WBbt:0007850; muscular system WBbt:0005737
7928	[7928] cluster ife-1	WBGene00010167	bgnt-1.6	144.75	0.624	True	male WBbt:0007850	germ line WBbt:0005784; male WBbt:0007850
7928	[7928] cluster ife-1	WBGene00020707	wago-10	413.8	0.624	True	male WBbt:0007850	ut4 WBbt:0006788; hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7928	[7928] cluster ife-1	WBGene00009708	F44G3.7	562.24	0.624	True	male WBbt:0007850	corpus WBbt:0003733; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; male WBbt:0007850; reproductive system WBbt:0005747
