node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8210	[8210] cluster sdz-15	WBGene00006557	tbx-38	1102.14	0.94	True	ABaraaaa WBbt:0006360	ABaraaaa WBbt:0006360; ABplaaapa WBbt:0006680; ABaraapp WBbt:0006153; ABaraaap WBbt:0005861; ABaraapa WBbt:0005853; nervous system WBbt:0005735; ABarappa WBbt:0006005; ABarappp WBbt:0006524
8210	[8210] cluster sdz-15	WBGene00013796	Y116A8C.19	616.72	0.91	False	ABaraaaa WBbt:0006360	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; head muscle WBbt:0006761; AIZ WBbt:0005836; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; NSM WBbt:0003666; muscular system WBbt:0005737
8210	[8210] cluster sdz-15	WBGene00009537	ccch-2	743.01	0.871	False	ABaraaaa WBbt:0006360	excretory system WBbt:0005736; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; intestine WBbt:0005772; Y cell WBbt:0004578; AVH WBbt:0006821; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; head muscle WBbt:0006761; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; AWB WBbt:0005671; muscular system WBbt:0005737
8210	[8210] cluster sdz-15	WBGene00044371	ZC239.20	753.07	0.866	False	ABaraaaa WBbt:0006360	corpus WBbt:0003733; pharynx WBbt:0003681; NSM WBbt:0003666
8210	[8210] cluster sdz-15	WBGene00012581	Y38E10A.3	762.73	0.848	False	ABaraaaa WBbt:0006360	AVG WBbt:0003850; epithelial system WBbt:0005730; F cell WBbt:0004799; retrovesicular ganglion WBbt:0005656; U cell WBbt:0004942
8210	[8210] cluster sdz-15	WBGene00009539	F38C2.7	676.29	0.833	False	ABaraaaa WBbt:0006360	Ear WBbt:0006370; Eal WBbt:0006441; epithelial system WBbt:0005730; g2 WBbt:0003710; ABalaapppa WBbt:0006026; Epr WBbt:0006547; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; pharynx WBbt:0003681; Epl WBbt:0006000; striated muscle WBbt:0005779; muscular system WBbt:0005737
8210	[8210] cluster sdz-15	WBGene00013794	dct-13	480.38	0.796	False	ABaraaaa WBbt:0006360	intestine WBbt:0005772; DVA WBbt:0004823; somatic nervous system WBbt:0005760; head muscle WBbt:0006761; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; muscular system WBbt:0005737
8210	[8210] cluster sdz-15	WBGene00009658	pap-3	408.63	0.787	False	ABaraaaa WBbt:0006360	XXX cell WBbt:0007855; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVH WBbt:0006821; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103
8210	[8210] cluster sdz-15	WBGene00020438	T12A2.3	1072.35	0.718	False	ABaraaaa WBbt:0006360	hermaphrodite WBbt:0007849; ABarppaapp WBbt:0006393; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; oocyte WBbt:0006797; sex organ WBbt:0008422; muscular system WBbt:0005737
8210	[8210] cluster sdz-15	WBGene00017752	sdz-15	1396.66	0.713	False	ABaraaaa WBbt:0006360	I5 neuron WBbt:0004740; hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681
