node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8222	[8222] cluster lim-9	WBGene00185100	T12A7.9	30.34	0.707	False	AVM WBbt:0003832	nervous system WBbt:0005735
8222	[8222] cluster lim-9	WBGene00023475	srz-69	25.79	0.703	False	AVM WBbt:0003832	corpus WBbt:0003733; pharynx WBbt:0003681; NSM WBbt:0003666
8222	[8222] cluster lim-9	WBGene00019200	H14E04.3	776.77	0.664	False	AVM WBbt:0003832	VC6 WBbt:0004611; IL2L WBbt:0004541; I5 neuron WBbt:0004740; VD8 WBbt:0004597; RMH WBbt:0006843; DD1 WBbt:0004839; RIA WBbt:0006833; VD10 WBbt:0004591; VD5 WBbt:0004601; RIB WBbt:0005834; AIA WBbt:0006812; VC3 WBbt:0004618; DD6 WBbt:0004824; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; VD13 WBbt:0004585; anterior ganglion WBbt:0005375; intestine WBbt:0005772; VD1 WBbt:0004609; VD4 WBbt:0004603; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; VD7 WBbt:0004598; M1 neuron WBbt:0004488; nervous system WBbt:0005735; DD5 WBbt:0004825; VD11 WBbt:0004589; VC1 WBbt:0004621; VD6 WBbt:0004599; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; VD3 WBbt:0004605; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; sex organ WBbt:0008422; VD9 WBbt:0004593; AIY WBbt:0005413; DD4 WBbt:0004826; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
8222	[8222] cluster lim-9	WBGene00020302	T07D1.3	843.48	0.563	True	AVM WBbt:0003832	PHC WBbt:0008446; PVM WBbt:0004086; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; PLN WBbt:0006855; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; ALN WBbt:0006851; PVW WBbt:0008438; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663
8222	[8222] cluster lim-9	WBGene00019574	K09E3.2	25.79	0.549	False	AVM WBbt:0003832	germ line WBbt:0005784; reproductive system WBbt:0005747
8222	[8222] cluster lim-9	WBGene00219437	C50A2.7	25.79	0.527	False	AVM WBbt:0003832	nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; AWB WBbt:0005671
8222	[8222] cluster lim-9	WBGene00045344	Y43F8C.23	25.79	0.497	True	AVM WBbt:0003832	PVM WBbt:0004086; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; AVM WBbt:0003832; nervous system WBbt:0005735; ALM WBbt:0005406; posterior lateral ganglion WBbt:0005465
8222	[8222] cluster lim-9	WBGene00017792	F25E5.16	271.57	0.476	False	AVM WBbt:0003832	RME WBbt:0005399; AIM WBbt:0006814; VC6 WBbt:0004611; GLR WBbt:0005176; AVA WBbt:0005842; AUA WBbt:0006817; ABalppappa WBbt:0005975; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; anterior ganglion WBbt:0005375; ABarappppa WBbt:0006687; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; nervous system WBbt:0005735; VC1 WBbt:0004621; VC2 WBbt:0004619; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AVB WBbt:0005841; AIY WBbt:0005413; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
8222	[8222] cluster lim-9	WBGene00000658	col-83	257.93	0.458	False	AVM WBbt:0003832	RME WBbt:0005399; hyp1 WBbt:0004694; hyp2 WBbt:0004692; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; ABprppaaaap WBbt:0006283; nervous system WBbt:0005735; RIS WBbt:0005045; ABplppaaaap WBbt:0006414
8222	[8222] cluster lim-9	WBGene00008820	nlp-55	1670.35	0.456	True	AVM WBbt:0003832	PHC WBbt:0008446; AIM WBbt:0006814; URB WBbt:0006845; ADE WBbt:0005415; HSN WBbt:0006830; PVM WBbt:0004086; URA WBbt:0005225; DD1 WBbt:0004839; postdeirid sensillum WBbt:0005471; RIA WBbt:0006833; CEP WBbt:0005244; AIA WBbt:0006812; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; VD12 WBbt:0004587; RIF WBbt:0006835; anterior ganglion WBbt:0005375; BDU WBbt:0006826; BAG WBbt:0006825; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; PLM WBbt:0005490; PVS WBbt:0007837; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; AVM WBbt:0003832; AIZ WBbt:0005836; nervous system WBbt:0005735; RIP WBbt:0006838; somatic gonad WBbt:0005785; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; uv3 WBbt:0006793; ASG WBbt:0005664; PVP WBbt:0006832; PVW WBbt:0008438; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; male WBbt:0007850; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
