node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8233	[8233] cluster Y73F4A.2	WBGene00007200	vamp-8	3115.69	0.81	True	pharyngeal epithelial cell WBbt:0005459	I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; mc2 WBbt:0003708; RIB WBbt:0005834; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; BDU WBbt:0006826; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; pm2 WBbt:0003742; I1 neuron WBbt:0003649; nervous system WBbt:0005735; pharynx WBbt:0003681; ALM WBbt:0005406; coelomic system WBbt:0005749; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
8233	[8233] cluster Y73F4A.2	WBGene00018492	hpo-26	1748.75	0.789	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8233	[8233] cluster Y73F4A.2	WBGene00011188	R10D12.7	642.71	0.743	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8233	[8233] cluster Y73F4A.2	WBGene00016667	cpg-18	2719.42	0.655	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; PVD WBbt:0006831; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; ABalpppppp WBbt:0006396; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; ABpraaappp WBbt:0006194
8233	[8233] cluster Y73F4A.2	WBGene00003606	nhr-7	327.62	0.641	True	pharyngeal epithelial cell WBbt:0005459	excretory system WBbt:0005736; MSaapapa WBbt:0006323; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PVD WBbt:0006831; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; excretory cell WBbt:0005812; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; MSpppaaa WBbt:0005951; pm6 WBbt:0003724; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
8233	[8233] cluster Y73F4A.2	WBGene00007240	C01G10.15	416.82	0.637	True	pharyngeal epithelial cell WBbt:0005459	IL socket cell WBbt:0008418; AVA WBbt:0005842; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; ADE sheath cell WBbt:0008411; MSpapaapa WBbt:0006627; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; phasmid socket cell WBbt:0008410; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; MSaapaapa WBbt:0006494; ABplaaaaapp WBbt:0006428; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; lateral ganglion left WBbt:0005103; phasmid sheath cell WBbt:0006755; pm3 WBbt:0003740; ABarpapaapp WBbt:0006075; muscular system WBbt:0005737; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
8233	[8233] cluster Y73F4A.2	WBGene00007517	gpx-3	4081.22	0.634	True	pharyngeal epithelial cell WBbt:0005459	MC neuron WBbt:0003638; IL socket cell WBbt:0008418; ABpraapaaa WBbt:0005888; mc2 WBbt:0003708; ABplaapaaa WBbt:0006069; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; ADE sheath cell WBbt:0008411; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABaraapppaa WBbt:0006566; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
8233	[8233] cluster Y73F4A.2	WBGene00013515	Y73F4A.2	12516.03	0.619	True	pharyngeal epithelial cell WBbt:0005459	GLR WBbt:0005176; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; MSpppaaa WBbt:0005951; sex organ WBbt:0008422; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
8233	[8233] cluster Y73F4A.2	WBGene00014125	ZK863.8	3711.26	0.594	True	pharyngeal epithelial cell WBbt:0005459	SMD WBbt:0005353; pm8 WBbt:0004302; mc1 WBbt:0003709; RIA WBbt:0006833; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; RIM WBbt:0005835; posterior arcade cell WBbt:0005795; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
8233	[8233] cluster Y73F4A.2	WBGene00119204	ZC116.5	1319.66	0.582	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm3 WBbt:0003740; muscular system WBbt:0005737
