node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8455	[8455] cluster his-67	WBGene00022395	ceh-76	929.79	0.914	False	ABarpaaa WBbt:0006398	K' cell WBbt:0004497; body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; epithelial system WBbt:0005730; nervous system WBbt:0005735; K cell WBbt:0004499; striated muscle WBbt:0005779; muscular system WBbt:0005737
8455	[8455] cluster his-67	WBGene00017090	E01A2.8	265.31	0.671	False	ABarpaaa WBbt:0006398	ABalppppapa WBbt:0006705; ABalappapa WBbt:0006412; ABalaappppa WBbt:0006560; ABalappppaa WBbt:0006522; ABalppapppa WBbt:0006463; ABalapaaaa WBbt:0006002; ABprapaaaa WBbt:0006648; lateral ganglion right WBbt:0005101; RIV WBbt:0006839; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; ABarapppppa WBbt:0006203; ABalapappaa WBbt:0006542; ABalapaappa WBbt:0006196; ABprpppaapa WBbt:0006549; PVR WBbt:0004072; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ABarpapaapp WBbt:0006075; ABpraaapapa WBbt:0006404
8455	[8455] cluster his-67	WBGene00001907	his-33	320.96	0.592	False	ABarpaaa WBbt:0006398	ABalappapa WBbt:0006412; RME WBbt:0005399; ABalapaaaa WBbt:0006002; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; ASE WBbt:0005663; ABprapaaap WBbt:0005977
8455	[8455] cluster his-67	WBGene00006105	str-40	30.32	0.577	False	ABarpaaa WBbt:0006398	AVE WBbt:0006819
8455	[8455] cluster his-67	WBGene00021718	Y49F6B.6	14.57	0.577	False	ABarpaaa WBbt:0006398	male WBbt:0007850
8455	[8455] cluster his-67	WBGene00001941	his-67	1041.04	0.569	False	ABarpaaa WBbt:0006398	ABplpppaaa WBbt:0006025; ABplpapapa WBbt:0005908; MSpaaapa WBbt:0006241; ABalaaaarr WBbt:0006500; ABalaaaarl WBbt:0005945; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; MSpaaaaa WBbt:0006363; ABprpppaaa WBbt:0006063; ABprpapapa WBbt:0006487; AWA WBbt:0005670; nervous system WBbt:0005735; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ASG WBbt:0005664; ABaraappaa WBbt:0006636; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747
8455	[8455] cluster his-67	WBGene00019690	set-13	119.38	0.536	False	ABarpaaa WBbt:0006398	MSpaaapa WBbt:0006241; hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; germ line WBbt:0005784; reproductive system WBbt:0005747
8455	[8455] cluster his-67	WBGene00007832	srbc-82	55.34	0.528	False	ABarpaaa WBbt:0006398	somatic nervous system WBbt:0005760; AVK WBbt:0006823; germ line WBbt:0005784; reproductive system WBbt:0005747
8455	[8455] cluster his-67	WBGene00012039	T26E3.6	14.57	0.493	False	ABarpaaa WBbt:0006398	nervous system WBbt:0005735; ALA WBbt:0003955; male WBbt:0007850
8455	[8455] cluster his-67	WBGene00012725	sre-47	30.32	0.493	False	ABarpaaa WBbt:0006398	nervous system WBbt:0005735
8455	[8455] cluster his-67	WBGene00019584	set-12	219.41	0.456	False	ABarpaaa WBbt:0006398	dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; MSpaapaa WBbt:0006032; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; oocyte WBbt:0006797; somatic gonad WBbt:0005785; sex organ WBbt:0008422; germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
