node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8486	[8486] cluster myo-1	WBGene00018538	marg-1	2452.13	0.807	True	pharyngeal epithelial cell WBbt:0005459	postdeirid sensillum WBbt:0005471; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; amphid sheath cell WBbt:0006754; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; PDE WBbt:0006747; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747
8486	[8486] cluster myo-1	WBGene00009383	idpp-16	4548.38	0.786	True	pharyngeal epithelial cell WBbt:0005459	ABarpaappp WBbt:0006070; ABarpaappa WBbt:0005939; ABarpaapap WBbt:0006375; mc2 WBbt:0003708; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; ABplappppa WBbt:0004671; G cell WBbt:0008599; anterior ganglion WBbt:0005375; PVD WBbt:0006831; pm4 WBbt:0003739; ABarppaapa WBbt:0006180; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; FLP WBbt:0006828; pharynx WBbt:0003681; ABpraapppa WBbt:0006244; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; W cell WBbt:0004583; ABarpppapa WBbt:0006433; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8486	[8486] cluster myo-1	WBGene00013516	Y73F4A.3	9400.78	0.785	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; anterior ganglion WBbt:0005375; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; CEPsoDL WBbt:0004921
8486	[8486] cluster myo-1	WBGene00009386	tag-290	1442.35	0.728	False	pharyngeal epithelial cell WBbt:0005459	hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; PDE socket cell WBbt:0008421; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681
8486	[8486] cluster myo-1	WBGene00002348	myo-1	13993.72	0.72	True	pharyngeal epithelial cell WBbt:0005459	GLR WBbt:0005176; AVL WBbt:0003843; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; RIS WBbt:0005045; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
8486	[8486] cluster myo-1	WBGene00015278	C01B10.3	934.3	0.717	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; anchor cell WBbt:0004522; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; sex organ WBbt:0008422; pm6 WBbt:0003724; uv1 WBbt:0006791; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8486	[8486] cluster myo-1	WBGene00020639	fbxa-71	467.29	0.701	True	pharyngeal epithelial cell WBbt:0005459	corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
8486	[8486] cluster myo-1	WBGene00044491	Y54G2A.48	432.94	0.701	True	pharyngeal epithelial cell WBbt:0005459	corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; striated muscle WBbt:0005779; pm3 WBbt:0003740; muscular system WBbt:0005737
8486	[8486] cluster myo-1	WBGene00044489	pudl-1	3210.18	0.601	True	pharyngeal epithelial cell WBbt:0005459	corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; germ line WBbt:0005784; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747
8486	[8486] cluster myo-1	WBGene00002270	lec-7	1071.61	0.597	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; hermaphrodite WBbt:0007849; AVG WBbt:0003850; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PLM WBbt:0005490; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
