node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8487	[8487] cluster fipr-6	WBGene00007817	idpp-14	3210.97	0.856	True	pm6 WBbt:0003724	excretory system WBbt:0005736; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; tail hypodermis WBbt:0006978; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00009090	fipr-3	17912.94	0.707	True	pm6 WBbt:0003724	corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
8487	[8487] cluster fipr-6	WBGene00019152	nspb-6	15206.14	0.704	False	pm6 WBbt:0003724	epithelial system WBbt:0005730; pharyngeal-intestinal valve WBbt:0005767
8487	[8487] cluster fipr-6	WBGene00018167	nspb-4	3299.93	0.601	False	pm6 WBbt:0003724	pharynx WBbt:0003681; germ line WBbt:0005784; reproductive system WBbt:0005747
8487	[8487] cluster fipr-6	WBGene00011286	ttr-29	2201.21	0.598	False	pm6 WBbt:0003724	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; pharynx WBbt:0003681; ALM WBbt:0005406; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00008816	F14F8.8	6346.31	0.592	False	pm6 WBbt:0003724	corpus WBbt:0003733; anterior ganglion WBbt:0005375; g1P WBbt:0004528; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; germ line WBbt:0005784; striated muscle WBbt:0005779; NSM WBbt:0003666; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; reproductive system WBbt:0005747
8487	[8487] cluster fipr-6	WBGene00018170	nspb-1	7907.61	0.588	False	pm6 WBbt:0003724	rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pharynx WBbt:0003681; rectal valve cell WBbt:0005797
8487	[8487] cluster fipr-6	WBGene00011284	ttr-27	10515.49	0.581	True	pm6 WBbt:0003724	mc2 WBbt:0003708; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00009384	piit-1	5256.82	0.553	True	pm6 WBbt:0003724	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; pm7 WBbt:0003721; pm1 WBbt:0003744; AVD WBbt:0006818; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; AIZ WBbt:0005836; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00018166	nspb-5	6348.62	0.528	True	pm6 WBbt:0003724	pm7 WBbt:0003721; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pm6 WBbt:0003724; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00007535	ttr-19	64.06	0.523	False	pm6 WBbt:0003724	nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103
8487	[8487] cluster fipr-6	WBGene00007544	fipr-6	22393.28	0.494	True	pm6 WBbt:0003724	epithelial system WBbt:0005730; pharynx WBbt:0003681; pm6 WBbt:0003724; AIY WBbt:0005413; muscular system WBbt:0005737
8487	[8487] cluster fipr-6	WBGene00007541	fipr-4	11042.23	0.418	False	pm6 WBbt:0003724	lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; lumbar ganglion right WBbt:0005601; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; germ line WBbt:0005784; CEPsoDL WBbt:0004921; reproductive system WBbt:0005747
