node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8489	[8489] cluster nex-4	WBGene00019342	K02F6.8	1152.17	0.744	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; ADF WBbt:0005660; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8489	[8489] cluster nex-4	WBGene00019339	K02F6.5	1080.53	0.73	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; ADF WBbt:0005660; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8489	[8489] cluster nex-4	WBGene00017180	F02E11.2	1845.3	0.721	True	ASG WBbt:0005664	PHC WBbt:0008446; hook sensillum WBbt:0006930; IL2L WBbt:0004541; URB WBbt:0006845; PVM WBbt:0004086; AWC-ON WBbt:0005832; IL2VL WBbt:0004538; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; ADA WBbt:0006811; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; AVM WBbt:0003832; IL2DL WBbt:0004545; ray WBbt:0006941; RIP WBbt:0006838; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ASG WBbt:0005664; AWB WBbt:0005671; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663
8489	[8489] cluster nex-4	WBGene00021232	irld-15	188.13	0.685	True	ASG WBbt:0005664	corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ASI WBbt:0005666; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8489	[8489] cluster nex-4	WBGene00007176	kcnl-1	858.26	0.666	True	ASG WBbt:0005664	SMD WBbt:0005353; vm1 WBbt:0006917; VC5 WBbt:0004613; HSN WBbt:0006830; nociceptor neuron WBbt:0008434; AVF WBbt:0003851; URX WBbt:0006846; RMH WBbt:0006843; I6 neuron WBbt:0004739; RIA WBbt:0006833; DB2 WBbt:0004845; VB2 WBbt:0004641; AIA WBbt:0006812; AVL WBbt:0003843; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; AIZ WBbt:0005836; VA11 WBbt:0004647; I1 neuron WBbt:0003649; M5 neuron WBbt:0004465; nervous system WBbt:0005735; DD5 WBbt:0004825; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; RIS WBbt:0005045; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; vm2 WBbt:0006918; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; uv3 WBbt:0006793; ASG WBbt:0005664; AWB WBbt:0005671; intestinal muscle WBbt:0005796; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; uterine muscle WBbt:0005342; DD4 WBbt:0004826; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
8489	[8489] cluster nex-4	WBGene00015377	C03B1.6	88.57	0.664	False	ASG WBbt:0005664	SIB WBbt:0005359; OLQ WBbt:0006848; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; outer labial quadrant sensillum WBbt:0005502
8489	[8489] cluster nex-4	WBGene00022842	ZK994.6	780.12	0.656	True	ASG WBbt:0005664	PVC WBbt:0005840; IL2L WBbt:0004541; AVE WBbt:0006819; nociceptor neuron WBbt:0008434; AVA WBbt:0005842; ASJ WBbt:0005667; IL2VL WBbt:0004538; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; AVD WBbt:0006818; somatic nervous system WBbt:0005760; IL2DL WBbt:0004545; AWA WBbt:0005670; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; IL2DR WBbt:0004543; ASE WBbt:0005663
8489	[8489] cluster nex-4	WBGene00016703	rdl-1	1107.43	0.649	True	ASG WBbt:0005664	URX WBbt:0006846; ASJ WBbt:0005667; AWC-ON WBbt:0005832; AWC-OFF WBbt:0005833; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ASI WBbt:0005666; CAN WBbt:0006827; somatic nervous system WBbt:0005760; AWA WBbt:0005670; ABplaapappp WBbt:0006387; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AWB WBbt:0005671; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; head mesodermal cell WBbt:0004697
8489	[8489] cluster nex-4	WBGene00009716	F44G4.7	634.38	0.626	True	ASG WBbt:0005664	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; ASI WBbt:0005666; AWA WBbt:0005670; somatic gonad WBbt:0005785; AWCR WBbt:0003826; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; AWCL WBbt:0003827; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668
8489	[8489] cluster nex-4	WBGene00003591	nex-4	2068.69	0.596	True	ASG WBbt:0005664	URX WBbt:0006846; AWC-ON WBbt:0005832; AWC-OFF WBbt:0005833; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; PLM WBbt:0005490; PQR WBbt:0004096; AQR WBbt:0003927; AWA WBbt:0005670; nervous system WBbt:0005735; RIP WBbt:0006838; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AWB WBbt:0005671; AWCL WBbt:0003827; ASE WBbt:0005663
