node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8490	[8490] cluster lec-4	WBGene00015307	C01G5.5	5803.15	0.877	True	spermathecal-uterine junction WBbt:0006756	RME WBbt:0005399; spermathecal-uterine junction WBbt:0006756; hermaphrodite WBbt:0007849; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; germline precursor cell WBbt:0006849; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8490	[8490] cluster lec-4	WBGene00017258	F08F1.4	13980.32	0.859	True	spermathecal-uterine junction WBbt:0006756	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; PVW WBbt:0008438; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8490	[8490] cluster lec-4	WBGene00017493	irld-30	659.68	0.821	True	spermathecal-uterine junction WBbt:0006756	spermathecal-uterine junction WBbt:0006756; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8490	[8490] cluster lec-4	WBGene00019646	K11D12.6	472.86	0.793	False	spermathecal-uterine junction WBbt:0006756	germ line WBbt:0005784; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
8490	[8490] cluster lec-4	WBGene00002267	lec-4	65069.49	0.755	True	spermathecal-uterine junction WBbt:0006756	DA6 WBbt:0004861; spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; CEPsoDR WBbt:0004919; DA8 WBbt:0004858; AVA WBbt:0005842; CEPsoVR WBbt:0004917; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; PVD WBbt:0006831; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; M cell WBbt:0004489; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; RIG WBbt:0006836; sex organ WBbt:0008422; uv3 WBbt:0006793; DA7 WBbt:0004859; uv2 WBbt:0006792; CEPsoDL WBbt:0004921; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
8490	[8490] cluster lec-4	WBGene00012765	Y41E3.7	3175.29	0.703	False	spermathecal-uterine junction WBbt:0006756	AVE WBbt:0006819; K' cell WBbt:0004497; RIA WBbt:0006833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; RMDL WBbt:0005037; AQR WBbt:0003927; oocyte WBbt:0006797; RMDVR WBbt:0005029; RIP WBbt:0006838; F cell WBbt:0004799; K cell WBbt:0004499; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; AVB WBbt:0005841; germ line WBbt:0005784; VB1 WBbt:0004643; U cell WBbt:0004942; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
8490	[8490] cluster lec-4	WBGene00009953	F53A2.9	9659.07	0.694	False	spermathecal-uterine junction WBbt:0006756	vm1 WBbt:0006917; pm8 WBbt:0004302; excretory system WBbt:0005736; MSaapapa WBbt:0006323; AVA WBbt:0005842; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; intestine WBbt:0005772; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; excretory cell WBbt:0005812; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; nervous system WBbt:0005735; ABarpapaaa WBbt:0006207; pharynx WBbt:0003681; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; vm2 WBbt:0006918; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; germ line WBbt:0005784; striated muscle WBbt:0005779; ABplaaaaaa WBbt:0006330; intestinal muscle WBbt:0005796; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive system WBbt:0005747; rectal muscle WBbt:0005803; preanal ganglion WBbt:0005448
8490	[8490] cluster lec-4	WBGene00011616	T08D10.3	283.33	0.666	True	spermathecal-uterine junction WBbt:0006756	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; CAN WBbt:0006827; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; coelomic system WBbt:0005749; sex organ WBbt:0008422; uv2 WBbt:0006792; uv1 WBbt:0006791; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
8490	[8490] cluster lec-4	WBGene00077489	C04G6.13	94.18	0.655	False	spermathecal-uterine junction WBbt:0006756	striated muscle WBbt:0005779; muscular system WBbt:0005737
8490	[8490] cluster lec-4	WBGene00000190	warf-1	3552.41	0.65	False	spermathecal-uterine junction WBbt:0006756	dorsal uterine cell WBbt:0006782; IL2L WBbt:0004541; pm8 WBbt:0004302; IL2VL WBbt:0004538; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PHA WBbt:0007807; epithelial system WBbt:0005730; IL2DL WBbt:0004545; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; IL2DR WBbt:0004543; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
