node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8693	[8693] cluster tag-276	WBGene00014061	ZK673.5	801.31	0.779	False	Ep WBbt:0006612	SMD WBbt:0005353; PVC WBbt:0005840; AS11 WBbt:0003905; SIA WBbt:0005361; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; PDB WBbt:0004385; VA12 WBbt:0004645; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
8693	[8693] cluster tag-276	WBGene00044372	ZC239.21	1018.11	0.685	False	Ep WBbt:0006612	XXX cell WBbt:0007855; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; RIC WBbt:0006834; ABalappaap WBbt:0006727; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103
8693	[8693] cluster tag-276	WBGene00010689	K08H2.2	376.06	0.663	False	Ep WBbt:0006612	ABalaaaarr WBbt:0006500; ABalaaaarl WBbt:0005945
8693	[8693] cluster tag-276	WBGene00013254	tag-276	2282.13	0.649	False	Ep WBbt:0006612	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; C WBbt:0003810; epithelial system WBbt:0005730; AIZ WBbt:0005836; oocyte WBbt:0006797; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; reproductive system WBbt:0005747
8693	[8693] cluster tag-276	WBGene00044137	F28H6.8	239.75	0.611	False	Ep WBbt:0006612	ABalppappp WBbt:0006694; ABprpapppa WBbt:0005972; ABalaapppp WBbt:0006461; ABalapaapp WBbt:0006504; ABarappppp WBbt:0006094; ABalappppa WBbt:0006133; ABarpaaa WBbt:0006398; germ line WBbt:0005784; reproductive system WBbt:0005747
8693	[8693] cluster tag-276	WBGene00007083	AH10.2	83.41	0.582	False	Ep WBbt:0006612	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396
8693	[8693] cluster tag-276	WBGene00006559	tbx-40	12.22	0.577	False	Ep WBbt:0006612	epithelial system WBbt:0005730; nervous system WBbt:0005735; ABprpaaaap WBbt:0006721; ABplpaaaap WBbt:0006528
8693	[8693] cluster tag-276	WBGene00005254	srh-31	12.22	0.577	False	Ep WBbt:0006612	corpus WBbt:0003733; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; pharynx WBbt:0003681; NSM WBbt:0003666; phasmid sheath cell WBbt:0006755
8693	[8693] cluster tag-276	WBGene00001964	hlh-25	14.74	0.577	False	Ep WBbt:0006612	postdeirid sensillum WBbt:0005471; ADE sheath cell WBbt:0008411; intestine WBbt:0005772; epithelial system WBbt:0005730; head muscle WBbt:0006761; nervous system WBbt:0005735; PDE WBbt:0006747; anal depressor muscle WBbt:0004292; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737
8693	[8693] cluster tag-276	WBGene00019066	sdz-23	324.33	0.575	True	Ep WBbt:0006612	Ep WBbt:0006612; E WBbt:0004804; Ea WBbt:0006733
