node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8714	[8714] cluster F41E6.15	WBGene00017764	F25A2.1	681.82	0.851	False	pharyngeal epithelial cell WBbt:0005459	intestine WBbt:0005772
8714	[8714] cluster F41E6.15	WBGene00004007	pgp-13	193.2	0.791	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; intestine WBbt:0005772; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
8714	[8714] cluster F41E6.15	WBGene00013653	ifas-3	92.67	0.76	False	pharyngeal epithelial cell WBbt:0005459	corpus WBbt:0003733; intestine WBbt:0005772; nervous system WBbt:0005735; MI neuron WBbt:0003664; pharynx WBbt:0003681; muscular system WBbt:0005737
8714	[8714] cluster F41E6.15	WBGene00019818	R02C2.7	4232.19	0.754	True	pharyngeal epithelial cell WBbt:0005459	GLR WBbt:0005176; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm3 WBbt:0003740; muscular system WBbt:0005737
8714	[8714] cluster F41E6.15	WBGene00021395	pnc-1	3458.03	0.723	True	pharyngeal epithelial cell WBbt:0005459	hyp6 WBbt:0004679; PVC WBbt:0005840; IL socket cell WBbt:0008418; IL2L WBbt:0004541; OLQ WBbt:0006848; pm8 WBbt:0004302; I5 neuron WBbt:0004740; nociceptor neuron WBbt:0008434; excretory system WBbt:0005736; AVA WBbt:0005842; IL1VR WBbt:0004547; AUA WBbt:0006817; ASJ WBbt:0005667; IL1R WBbt:0004551; M3 neuron WBbt:0003754; mc2 WBbt:0003708; IL1DR WBbt:0004737; CEP WBbt:0005244; AIA WBbt:0006812; hyp1 WBbt:0004694; hyp2 WBbt:0004692; IL2VL WBbt:0004538; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; hyp4 WBbt:0004687; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; CAN WBbt:0006827; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; PLM WBbt:0005490; M2 neuron WBbt:0003634; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; head muscle WBbt:0006761; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; IL2DL WBbt:0004545; pm2 WBbt:0003742; AWA WBbt:0005670; oocyte WBbt:0006797; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; MI neuron WBbt:0003664; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; IL1VL WBbt:0004549; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; ASG WBbt:0005664; hyp3 WBbt:0004690; pm6 WBbt:0003724; AWB WBbt:0005671; germline precursor cell WBbt:0006849; NSM WBbt:0003666; IL1DL WBbt:0004738; IL1L WBbt:0004553; uv2 WBbt:0006792; I3 neuron WBbt:0004742; IL2DR WBbt:0004543; I2 neuron WBbt:0003645; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; U cell WBbt:0004942; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; ASK WBbt:0005668; OL socket cell WBbt:0008419; preanal ganglion WBbt:0005448
8714	[8714] cluster F41E6.15	WBGene00022284	glb-33	1052.51	0.714	False	pharyngeal epithelial cell WBbt:0005459	SIB WBbt:0005359; M4 neuron WBbt:0004467; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; AVA WBbt:0005842; AVJ WBbt:0006822; RIB WBbt:0005834; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; RMDDR WBbt:0005038; RMDR WBbt:0005033; RIC WBbt:0006834; VA12 WBbt:0004645; DVA WBbt:0004823; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; M2 neuron WBbt:0003634; pm4 WBbt:0003739; AIB WBbt:0006813; RMDL WBbt:0005037; pm2 WBbt:0003742; RMDVR WBbt:0005029; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; AVB WBbt:0005841; pm6 WBbt:0003724; NSM WBbt:0003666; ALA WBbt:0003955; pm3 WBbt:0003740; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
8714	[8714] cluster F41E6.15	WBGene00003575	ncx-10	124.69	0.662	True	pharyngeal epithelial cell WBbt:0005459	corpus WBbt:0003733; pm7 WBbt:0003721; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; pharyngeal epithelial cell WBbt:0005459; pm3 WBbt:0003740; muscular system WBbt:0005737; DVC WBbt:0004821
8714	[8714] cluster F41E6.15	WBGene00009597	F40G12.2	374.08	0.655	True	pharyngeal epithelial cell WBbt:0005459	ADE WBbt:0005415; URA WBbt:0005225; AVJ WBbt:0006822; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; AVD WBbt:0006818; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; AVK WBbt:0006823; pm2 WBbt:0003742; nervous system WBbt:0005735; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; pharyngeal epithelial cell WBbt:0005459; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; NSM WBbt:0003666; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747; DVC WBbt:0004821
8714	[8714] cluster F41E6.15	WBGene00003574	ncx-9	113.46	0.653	True	pharyngeal epithelial cell WBbt:0005459	AIA WBbt:0006812; corpus WBbt:0003733; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
8714	[8714] cluster F41E6.15	WBGene00044554	F41E6.15	10680.41	0.646	True	pharyngeal epithelial cell WBbt:0005459	Q cell WBbt:0008598; corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; germ line WBbt:0005784; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive system WBbt:0005747
8714	[8714] cluster F41E6.15	WBGene00022246	acp-7	153.33	0.622	True	pharyngeal epithelial cell WBbt:0005459	SIB WBbt:0005359; excretory system WBbt:0005736; mc2 WBbt:0003708; hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921
8714	[8714] cluster F41E6.15	WBGene00004008	pgp-14	3139.05	0.554	True	pharyngeal epithelial cell WBbt:0005459	MC neuron WBbt:0003638; pm8 WBbt:0004302; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; PVP WBbt:0006832; pm6 WBbt:0003724; NSM WBbt:0003666; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
8714	[8714] cluster F41E6.15	WBGene00006674	twk-21	142.09	0.549	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; epithelial system WBbt:0005730; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459
