node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8715	[8715] cluster C45G9.6	WBGene00016677	C45G9.6	38496.01	0.906	True	pharyngeal epithelial cell WBbt:0005459	ABplpapppa WBbt:0006225; K' cell WBbt:0004497; ABprppppaa WBbt:0006642; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pm2 WBbt:0003742; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; pm3 WBbt:0003740; U cell WBbt:0004942; muscular system WBbt:0005737
8715	[8715] cluster C45G9.6	WBGene00011894	ttr-23	2025.45	0.825	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; intestine WBbt:0005772; PVD WBbt:0006831; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; FLP WBbt:0006828; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal epithelial cell WBbt:0005459; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
8715	[8715] cluster C45G9.6	WBGene00000016	abf-5	5837.93	0.788	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; FLP WBbt:0006828; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
8715	[8715] cluster C45G9.6	WBGene00013646	Y105C5B.3	419.05	0.774	False	pharyngeal epithelial cell WBbt:0005459	somatic nervous system WBbt:0005760; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; RIG WBbt:0006836
8715	[8715] cluster C45G9.6	WBGene00004144	srlf-35	3719.34	0.704	True	pharyngeal epithelial cell WBbt:0005459	mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; ABaraapppaa WBbt:0006566; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737
8715	[8715] cluster C45G9.6	WBGene00016180	srlf-3	3510.29	0.645	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; male WBbt:0007850; muscular system WBbt:0005737
8715	[8715] cluster C45G9.6	WBGene00009476	F36F2.2	1030.45	0.642	False	pharyngeal epithelial cell WBbt:0005459	OLQ WBbt:0006848; vm1 WBbt:0006917; Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; anterior ganglion WBbt:0005375; intestine WBbt:0005772; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; pm6 WBbt:0003724; intestinal muscle WBbt:0005796; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
8715	[8715] cluster C45G9.6	WBGene00004176	srlf-36	418.45	0.638	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; epithelial system WBbt:0005730; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; striated muscle WBbt:0005779; muscular system WBbt:0005737
8715	[8715] cluster C45G9.6	WBGene00011394	T03D8.7	763.2	0.619	False	pharyngeal epithelial cell WBbt:0005459	AVE WBbt:0006819; AUA WBbt:0006817; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; OLL WBbt:0006847; g2 WBbt:0003710; nervous system WBbt:0005735; FLP WBbt:0006828; pharynx WBbt:0003681; ALM WBbt:0005406; lateral ganglion left WBbt:0005103
8715	[8715] cluster C45G9.6	WBGene00008617	F09C6.3	160.36	0.592	True	pharyngeal epithelial cell WBbt:0005459	mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; pm6 WBbt:0003724; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; Caapa WBbt:0006123
