node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8718	[8718] cluster flp-27	WBGene00008051	lron-4	5267.42	0.891	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8718	[8718] cluster flp-27	WBGene00012753	Y41C4A.6	19918.74	0.875	True	ASG WBbt:0005664	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; BAG WBbt:0006825; gonadal primordium WBbt:0008366; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8718	[8718] cluster flp-27	WBGene00017664	npax-1	464.72	0.866	True	ASG WBbt:0005664	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; gonadal primordium WBbt:0008366; I4 neuron WBbt:0004741; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8718	[8718] cluster flp-27	WBGene00021268	capa-1	30180.99	0.847	True	ASG WBbt:0005664	PHC WBbt:0008446; lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ALA WBbt:0003955; muscular system WBbt:0005737
8718	[8718] cluster flp-27	WBGene00021383	Y37F4.2	275.83	0.832	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AWCL WBbt:0003827
8718	[8718] cluster flp-27	WBGene00009216	F28D1.6	5846.49	0.825	True	ASG WBbt:0005664	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; intestine WBbt:0005772; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ASE WBbt:0005663
8718	[8718] cluster flp-27	WBGene00045482	T03F6.9	8710.91	0.808	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8718	[8718] cluster flp-27	WBGene00001541	gcy-15	5154.74	0.802	True	ASG WBbt:0005664	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; pm2 WBbt:0003742; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; muscular system WBbt:0005737
8718	[8718] cluster flp-27	WBGene00001546	gcy-21	5441.0	0.789	True	ASG WBbt:0005664	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; G cell WBbt:0008599; pm2 WBbt:0003742; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; W cell WBbt:0004583; muscular system WBbt:0005737
8718	[8718] cluster flp-27	WBGene00015113	B0281.6	581.32	0.777	True	ASG WBbt:0005664	lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
8718	[8718] cluster flp-27	WBGene00001537	gcy-11	10300.82	0.764	True	ASG WBbt:0005664	vm1 WBbt:0006917; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; vm2 WBbt:0006918; sex organ WBbt:0008422; ASG WBbt:0005664; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
8718	[8718] cluster flp-27	WBGene00016114	flp-27	47953.84	0.757	True	ASG WBbt:0005664	hook sensillum WBbt:0006930; AIM WBbt:0006814; OLQ WBbt:0006848; VC5 WBbt:0004613; GLR WBbt:0005176; SIA WBbt:0005361; nociceptor neuron WBbt:0008434; AVF WBbt:0003851; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; VA12 WBbt:0004645; AVH WBbt:0006821; BDU WBbt:0006826; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; ray WBbt:0006941; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PDA WBbt:0004386; ASG WBbt:0005664; PVW WBbt:0008438; ALA WBbt:0003955; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; preanal ganglion WBbt:0005448
8718	[8718] cluster flp-27	WBGene00013490	Y70C5A.2	463.3	0.756	True	ASG WBbt:0005664	ADF WBbt:0005660; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ASG WBbt:0005664
