node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
8719	[8719] cluster daf-28	WBGene00018881	F55E10.1	60.93	0.707	True	ASI WBbt:0005666	ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
8719	[8719] cluster daf-28	WBGene00016856	srt-15	91.39	0.683	True	ASI WBbt:0005666	ASI WBbt:0005666; lateral ganglion left WBbt:0005103
8719	[8719] cluster daf-28	WBGene00018941	F56C3.4	182.78	0.679	True	ASI WBbt:0005666	PHB WBbt:0007808; PHA WBbt:0007807; ASI WBbt:0005666; nervous system WBbt:0005735
8719	[8719] cluster daf-28	WBGene00000920	daf-28	7311.28	0.601	True	ASI WBbt:0005666	AIM WBbt:0006814; URB WBbt:0006845; URX WBbt:0006846; ASJ WBbt:0005667; AWC-ON WBbt:0005832; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; intestine WBbt:0005772; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ASG WBbt:0005664; AWB WBbt:0005671; PVT WBbt:0004070; RIR WBbt:0005047; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; preanal ganglion WBbt:0005448
8719	[8719] cluster daf-28	WBGene00005744	ops-1	98.7	0.593	False	ASI WBbt:0005666	ABalpapaap WBbt:0006023; lateral ganglion right WBbt:0005101; ABarappaap WBbt:0006103; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664
8719	[8719] cluster daf-28	WBGene00021693	Y48G8AR.2	225.43	0.561	True	ASI WBbt:0005666	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ASI WBbt:0005666; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AIB WBbt:0006813; oocyte WBbt:0006797; nervous system WBbt:0005735; PLN WBbt:0006855; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ALN WBbt:0006851; ASG WBbt:0005664; AWB WBbt:0005671; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
8719	[8719] cluster daf-28	WBGene00005934	srx-43	121.85	0.554	True	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
8719	[8719] cluster daf-28	WBGene00005147	srd-70	182.78	0.549	True	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; PLM WBbt:0005490; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASE WBbt:0005663
8719	[8719] cluster daf-28	WBGene00206370	F02D8.9	60.93	0.529	True	ASI WBbt:0005666	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ASI WBbt:0005666; lateral ganglion left WBbt:0005103
8719	[8719] cluster daf-28	WBGene00012215	W02D9.9	91.39	0.52	True	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ASI WBbt:0005666; lateral ganglion left WBbt:0005103
