node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
9046	[9046] cluster vit-6	WBGene00006930	vit-6	4743.49	0.94	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; pharynx WBbt:0003681; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
9046	[9046] cluster vit-6	WBGene00009429	irg-5	4611.84	0.939	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
9046	[9046] cluster vit-6	WBGene00009706	argk-1	843.82	0.806	True	intestine WBbt:0005772	SIB WBbt:0005359; IL socket cell WBbt:0008418; ABalapppaa WBbt:0006703; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; pharynx WBbt:0003681; mc3 WBbt:0003707; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; reproductive system WBbt:0005747; OL socket cell WBbt:0008419
9046	[9046] cluster vit-6	WBGene00007331	pho-11	2337.94	0.718	True	intestine WBbt:0005772	intestine WBbt:0005772; epithelial system WBbt:0005730; B cell WBbt:0003825; germ line WBbt:0005784; reproductive system WBbt:0005747
9046	[9046] cluster vit-6	WBGene00202495	T26H5.11	10.13	0.707	True	intestine WBbt:0005772	intestine WBbt:0005772
9046	[9046] cluster vit-6	WBGene00020516	T15B7.1	259.47	0.628	True	intestine WBbt:0005772	VC6 WBbt:0004611; AVE WBbt:0006819; GLR WBbt:0005176; AVA WBbt:0005842; RMH WBbt:0006843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; AIZ WBbt:0005836; VC1 WBbt:0004621; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
9046	[9046] cluster vit-6	WBGene00013468	srz-96	10.13	0.626	False	intestine WBbt:0005772	nervous system WBbt:0005735; muscular system WBbt:0005737
9046	[9046] cluster vit-6	WBGene00018707	oac-31	220.87	0.54	True	intestine WBbt:0005772	intestine WBbt:0005772; rectal gland cell WBbt:0005799; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
9046	[9046] cluster vit-6	WBGene00009237	F28H7.3	2466.57	0.535	True	intestine WBbt:0005772	intestine WBbt:0005772; g1AL WBbt:0004532; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; g1P WBbt:0004528; g1AR WBbt:0004530; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; ALN WBbt:0006851; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
9046	[9046] cluster vit-6	WBGene00003734	nhx-6	23.54	0.534	True	intestine WBbt:0005772	intestine WBbt:0005772; ABalpappaa WBbt:0006051; ABarapapaa WBbt:0006001
9046	[9046] cluster vit-6	WBGene00010237	scvp-1	70.62	0.466	False	intestine WBbt:0005772	male WBbt:0007850
9046	[9046] cluster vit-6	WBGene00003957	pcp-2	247.7	0.447	True	intestine WBbt:0005772	intestine WBbt:0005772; RIC WBbt:0006834; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
9046	[9046] cluster vit-6	WBGene00000022	abt-4	227.44	0.439	True	intestine WBbt:0005772	MC neuron WBbt:0003638; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; amphid socket cell WBbt:0008379; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; I1 neuron WBbt:0003649; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; NSM WBbt:0003666; I3 neuron WBbt:0004742; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
9046	[9046] cluster vit-6	WBGene00013874	cest-2.2	64.05	0.37	True	intestine WBbt:0005772	intestine WBbt:0005772
9046	[9046] cluster vit-6	WBGene00044783	T26H5.10	43.79	0.356	True	intestine WBbt:0005772	intestine WBbt:0005772; LUA WBbt:0008031; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847
9046	[9046] cluster vit-6	WBGene00012525	Y32B12C.1	45.43	0.318	False	intestine WBbt:0005772	gonadal primordium WBbt:0008366
9046	[9046] cluster vit-6	WBGene00044468	Y69A2AL.2	74.17	0.304	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
