node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
935	[935] cluster cho-1	WBGene00000501	cho-1	10242.84	0.546	True	IL2R WBbt:0004539	SMD WBbt:0005353; PVC WBbt:0005840; AS7 WBbt:0003909; hook sensillum WBbt:0006930; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; IL2L WBbt:0004541; URB WBbt:0006845; M4 neuron WBbt:0004467; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; AS11 WBbt:0003905; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; URA WBbt:0005225; URX WBbt:0006846; RMH WBbt:0006843; DD1 WBbt:0004839; ASJ WBbt:0005667; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; RIB WBbt:0005834; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; IL2VL WBbt:0004538; VC3 WBbt:0004618; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; ADF WBbt:0005660; VD12 WBbt:0004587; RIF WBbt:0006835; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AS2 WBbt:0003924; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; RMDVL WBbt:0005031; AS3 WBbt:0003923; DA3 WBbt:0004867; VA5 WBbt:0004864; RMDL WBbt:0005037; AS5 WBbt:0003911; DB7 WBbt:0004840; IL2DL WBbt:0004545; ray WBbt:0006941; VA11 WBbt:0004647; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; M5 neuron WBbt:0004465; VA3 WBbt:0004868; RMDVR WBbt:0005029; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; ABplapppapp WBbt:0005970; AIN WBbt:0006815; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; AWB WBbt:0005671; RIH WBbt:0003928; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; AIY WBbt:0005413; male WBbt:0007850; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
935	[935] cluster cho-1	WBGene00005517	sri-5	103.02	0.434	False	IL2R WBbt:0004539	nociceptor neuron WBbt:0008434; ABprapaaapa WBbt:0006633; RIB WBbt:0005834; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; RIV WBbt:0006839; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv1 WBbt:0006791; male WBbt:0007850; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; reproductive tract WBbt:0005744; ASK WBbt:0005668
935	[935] cluster cho-1	WBGene00015292	C01C4.2	82.42	0.408	False	IL2R WBbt:0004539	SIB WBbt:0005359; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; AWCL WBbt:0003827; cephalic sheath cell WBbt:0008406
935	[935] cluster cho-1	WBGene00195049	CC8.3	82.42	0.402	True	IL2R WBbt:0004539	hook sensillum WBbt:0006930; IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; male WBbt:0007850
935	[935] cluster cho-1	WBGene00020151	T01G6.1	200.09	0.397	True	IL2R WBbt:0004539	PHC WBbt:0008446; hook sensillum WBbt:0006930; IL2L WBbt:0004541; VD8 WBbt:0004597; VD10 WBbt:0004591; IL2VL WBbt:0004538; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; DD5 WBbt:0004825; VD11 WBbt:0004589; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ALA WBbt:0003955; VD9 WBbt:0004593; IL2DR WBbt:0004543; male WBbt:0007850; DD4 WBbt:0004826; ASE WBbt:0005663; preanal ganglion WBbt:0005448
935	[935] cluster cho-1	WBGene00008656	lron-5	611.41	0.386	False	IL2R WBbt:0004539	SMD WBbt:0005353; SIB WBbt:0005359; DA6 WBbt:0004861; URB WBbt:0006845; DA1 WBbt:0004871; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; DA8 WBbt:0004858; URA WBbt:0005225; RMH WBbt:0006843; RIA WBbt:0006833; VA10 WBbt:0004649; DA5 WBbt:0004863; VB2 WBbt:0004641; AIA WBbt:0006812; VA1 WBbt:0004872; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; AVG WBbt:0003850; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalappaap WBbt:0006727; DA9 WBbt:0004857; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; DVA WBbt:0004823; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PVS WBbt:0007837; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; RMDL WBbt:0005037; VA11 WBbt:0004647; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; nervous system WBbt:0005735; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; VB3 WBbt:0004639; SAA WBbt:0005397; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; PDA WBbt:0004386; PVP WBbt:0006832; VB1 WBbt:0004643; DA7 WBbt:0004859; ALA WBbt:0003955; male WBbt:0007850; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
935	[935] cluster cho-1	WBGene00020900	T28F2.1	82.42	0.368	True	IL2R WBbt:0004539	IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; male WBbt:0007850
935	[935] cluster cho-1	WBGene00019669	K12B6.4	782.96	0.339	True	IL2R WBbt:0004539	IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; IL2DL WBbt:0004545; IL2VR WBbt:0004537; IL2DR WBbt:0004543
935	[935] cluster cho-1	WBGene00044421	D1007.18	2204.64	0.285	True	IL2R WBbt:0004539	IL2L WBbt:0004541; IL1VR WBbt:0004547; IL1R WBbt:0004551; IL1DR WBbt:0004737; IL2VL WBbt:0004538; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; OLL WBbt:0006847; IL2DL WBbt:0004545; IL1VL WBbt:0004549; IL2VR WBbt:0004537; IL1DL WBbt:0004738; IL1L WBbt:0004553; IL2DR WBbt:0004543
935	[935] cluster cho-1	WBGene00000989	dhs-26	21.39	0.252	False	IL2R WBbt:0004539	IL1DR WBbt:0004737; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; CAN WBbt:0006827; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; IL1VL WBbt:0004549; IL1DL WBbt:0004738; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; cephalic sheath cell WBbt:0008406
