node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
939	[939] cluster srd-61	WBGene00007954	gcp-2.2	21.04	0.551	True	PHB WBbt:0007808	anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; PHB WBbt:0007808; PHA WBbt:0007807; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; rectal valve cell WBbt:0005797; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; cephalic sheath cell WBbt:0008406
939	[939] cluster srd-61	WBGene00044099	srd-75	315.54	0.536	False	PHB WBbt:0007808	nervous system WBbt:0005735; muscular system WBbt:0005737
939	[939] cluster srd-61	WBGene00005088	srd-10	63.11	0.504	True	PHB WBbt:0007808	nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; amphid sheath cell WBbt:0006754; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; epithelial system WBbt:0005730; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
939	[939] cluster srd-61	WBGene00019054	F58F6.6	105.18	0.479	False	PHB WBbt:0007808	PHC WBbt:0008446; lateral ganglion right WBbt:0005101; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
939	[939] cluster srd-61	WBGene00013066	Y51A2B.2	147.25	0.437	True	PHB WBbt:0007808	PHB WBbt:0007808; PHA WBbt:0007807; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
939	[939] cluster srd-61	WBGene00007364	stdh-3	63.11	0.431	False	PHB WBbt:0007808	nervous system WBbt:0005735
939	[939] cluster srd-61	WBGene00005347	srh-130	42.07	0.414	True	PHB WBbt:0007808	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; epithelial system WBbt:0005730; midbody WBbt:0005740; nervous system WBbt:0005735; FLP WBbt:0006828; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; germ line WBbt:0005784; reproductive system WBbt:0005747
939	[939] cluster srd-61	WBGene00007834	srxa-7	21.04	0.412	True	PHB WBbt:0007808	nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; lateral ganglion left WBbt:0005103; PVT WBbt:0004070; preanal ganglion WBbt:0005448
939	[939] cluster srd-61	WBGene00006005	srx-114	42.07	0.409	False	PHB WBbt:0007808	nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; AWB WBbt:0005671; ASK WBbt:0005668
939	[939] cluster srd-61	WBGene00007909	C34B4.4	168.29	0.356	True	PHB WBbt:0007808	PHB WBbt:0007808; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
939	[939] cluster srd-61	WBGene00005479	srh-274	42.07	0.291	False	PHB WBbt:0007808	ABpraapaaa WBbt:0005888; ABplaapaaa WBbt:0006069
939	[939] cluster srd-61	WBGene00010546	K03H1.11	57.2	0.152	False	PHB WBbt:0007808	ABplaapaap WBbt:0006518; ABalaaaarr WBbt:0006500; ABalaaaarl WBbt:0005945; corpus WBbt:0003733; hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373
