node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
946	[946] cluster ins-30	WBGene00019393	irld-45	28.9	0.707	True	ASJ WBbt:0005667	MSpaaapa WBbt:0006241; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; nervous system WBbt:0005735
946	[946] cluster ins-30	WBGene00020714	T23B3.6	3814.36	0.677	True	ASJ WBbt:0005667	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PHB WBbt:0007808; PHA WBbt:0007807; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103
946	[946] cluster ins-30	WBGene00005428	srh-218	58.85	0.656	False	ASJ WBbt:0005667	nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; germ line WBbt:0005784
946	[946] cluster ins-30	WBGene00005808	srw-61	57.81	0.604	False	ASJ WBbt:0005667	nervous system WBbt:0005735; muscular system WBbt:0005737
946	[946] cluster ins-30	WBGene00006002	srx-111	205.98	0.588	False	ASJ WBbt:0005667	nociceptor neuron WBbt:0008434; osmosensory neuron WBbt:0008433; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
946	[946] cluster ins-30	WBGene00015961	srbc-7	115.61	0.585	True	ASJ WBbt:0005667	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; lateral ganglion left WBbt:0005103
946	[946] cluster ins-30	WBGene00005887	srw-140	58.85	0.562	False	ASJ WBbt:0005667	nociceptor neuron WBbt:0008434; ABalapppaa WBbt:0006703; ABprapaaapa WBbt:0006633; Q cell WBbt:0008598; osmosensory neuron WBbt:0008433; CAN WBbt:0006827; ray WBbt:0006941; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; male WBbt:0007850; ABplapaaapa WBbt:0006061
946	[946] cluster ins-30	WBGene00010297	F59A1.11	264.83	0.552	False	ASJ WBbt:0005667	SIB WBbt:0005359; nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; somatic nervous system WBbt:0005760; lateral ganglion left WBbt:0005103
946	[946] cluster ins-30	WBGene00009596	sre-8	58.85	0.532	False	ASJ WBbt:0005667	AWA WBbt:0005670; lateral ganglion left WBbt:0005103
946	[946] cluster ins-30	WBGene00007247	C01G12.7	404.65	0.471	True	ASJ WBbt:0005667	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASK WBbt:0005668
946	[946] cluster ins-30	WBGene00002113	ins-30	7544.83	0.457	True	ASJ WBbt:0005667	ABplaapaap WBbt:0006518; K' cell WBbt:0004497; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; Y cell WBbt:0004578; PVD WBbt:0006831; DVA WBbt:0004823; ASI WBbt:0005666; PVQ WBbt:0006976; CAN WBbt:0006827; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; head muscle WBbt:0006761; AWA WBbt:0005670; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; ABpraapaap WBbt:0006373
946	[946] cluster ins-30	WBGene00005319	srh-100	57.81	0.443	True	ASJ WBbt:0005667	AUA WBbt:0006817; ASJ WBbt:0005667; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ASI WBbt:0005666; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; NSM WBbt:0003666
946	[946] cluster ins-30	WBGene00013913	irld-61	28.9	0.432	False	ASJ WBbt:0005667	ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; ABarpapaaa WBbt:0006207; ABplaaaaaa WBbt:0006330
946	[946] cluster ins-30	WBGene00005664	sru-1	87.75	0.399	False	ASJ WBbt:0005667	OLQ WBbt:0006848; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; g2 WBbt:0003710; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; outer labial quadrant sensillum WBbt:0005502; ASK WBbt:0005668
946	[946] cluster ins-30	WBGene00206392	F47D2.11	231.23	0.35	True	ASJ WBbt:0005667	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101
946	[946] cluster ins-30	WBGene00005237	srh-11	57.81	0.345	True	ASJ WBbt:0005667	excretory system WBbt:0005736; ASJ WBbt:0005667; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; AIB WBbt:0006813; PQR WBbt:0004096; head muscle WBbt:0006761; ray WBbt:0006941; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; preanal ganglion WBbt:0005448
