node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
947	[947] cluster K04D7.6	WBGene00005375	srh-159	357.03	0.81	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; germ line WBbt:0005784; reproductive system WBbt:0005747
947	[947] cluster K04D7.6	WBGene00022527	ZC132.9	2707.08	0.797	True	ADL WBbt:0005661	nociceptor neuron WBbt:0008434; AVA WBbt:0005842; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00269424	K09D9.14	382.74	0.711	True	ADL WBbt:0005661	nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00008947	srz-16	25.71	0.707	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00010688	srz-12	66.6	0.703	False	ADL WBbt:0005661	nervous system WBbt:0005735
947	[947] cluster K04D7.6	WBGene00023505	srz-102	133.21	0.699	True	ADL WBbt:0005661	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; midbody WBbt:0005740; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; PVT WBbt:0004070; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
947	[947] cluster K04D7.6	WBGene00010559	K04D7.6	2932.6	0.697	True	ADL WBbt:0005661	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; VD12 WBbt:0004587; PHB WBbt:0007808; PHA WBbt:0007807; somatic nervous system WBbt:0005760; RMF WBbt:0006841; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
947	[947] cluster K04D7.6	WBGene00012625	Y38H6C.13	125.62	0.666	False	ADL WBbt:0005661	nervous system WBbt:0005735
947	[947] cluster K04D7.6	WBGene00008126	sre-21	66.6	0.647	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; epithelial system WBbt:0005730; AWA WBbt:0005670; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00007345	C05E7.3	1528.02	0.642	True	ADL WBbt:0005661	ABalppppapa WBbt:0006705; PHC WBbt:0008446; PVM WBbt:0004086; AUA WBbt:0006817; RIA WBbt:0006833; ABprpaaappa WBbt:0006695; hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; LUA WBbt:0008031; RIC WBbt:0006834; AVH WBbt:0006821; BDU WBbt:0006826; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; PVS WBbt:0007837; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; AVM WBbt:0003832; AQR WBbt:0003927; nervous system WBbt:0005735; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; ABplpaaappa WBbt:0006600; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; pharyngeal-intestinal valve WBbt:0005767; PVW WBbt:0008438; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; ABpraaapapa WBbt:0006404; ABalapppapa WBbt:0006339
947	[947] cluster K04D7.6	WBGene00023506	srz-11	187.58	0.642	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00005423	srh-213	199.81	0.629	False	ADL WBbt:0005661	RME WBbt:0005399; nociceptor neuron WBbt:0008434; corpus WBbt:0003733; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; FLP WBbt:0006828; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; NSM WBbt:0003666
947	[947] cluster K04D7.6	WBGene00005346	srh-129	231.41	0.599	False	ADL WBbt:0005661	nociceptor neuron WBbt:0008434; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; nervous system WBbt:0005735; RID WBbt:0003938; lateral ganglion left WBbt:0005103
947	[947] cluster K04D7.6	WBGene00077514	F07B10.7	166.51	0.596	False	ADL WBbt:0005661	nervous system WBbt:0005735
947	[947] cluster K04D7.6	WBGene00014255	ZK1320.5	358.73	0.594	False	ADL WBbt:0005661	SMD WBbt:0005353; AIM WBbt:0006814; RIA WBbt:0006833; AIA WBbt:0006812; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; AIZ WBbt:0005836; nervous system WBbt:0005735; AIN WBbt:0006815; RID WBbt:0003938; lateral ganglion left WBbt:0005103; AVB WBbt:0005841; AIY WBbt:0005413
947	[947] cluster K04D7.6	WBGene00010527	srz-74	84.73	0.591	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
947	[947] cluster K04D7.6	WBGene00010506	K02E2.1	1851.75	0.581	True	ADL WBbt:0005661	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; nervous system WBbt:0005735; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; ADL WBbt:0005661; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
947	[947] cluster K04D7.6	WBGene00005349	srh-132	99.91	0.58	True	ADL WBbt:0005661	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; nervous system WBbt:0005735; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
