node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
957	[957] cluster gst-5	WBGene00013298	Y57G11B.6	393.09	0.784	False	PHB WBbt:0007808	ABalaappppa WBbt:0006560; OLQ WBbt:0006848; ABalappppaa WBbt:0006522; ADE WBbt:0005415; IL1VR WBbt:0004547; ASJ WBbt:0005667; IL1R WBbt:0004551; ABalppapppa WBbt:0006463; IL1DR WBbt:0004737; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ABarapppppa WBbt:0006203; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; IL1VL WBbt:0004549; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; IL1DL WBbt:0004738; IL1L WBbt:0004553; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
957	[957] cluster gst-5	WBGene00045208	F13E9.15	1778.74	0.754	False	PHB WBbt:0007808	nociceptor neuron WBbt:0008434; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; osmosensory neuron WBbt:0008433; amphid sheath cell WBbt:0006754; ASI WBbt:0005666; epithelial system WBbt:0005730; AWA WBbt:0005670; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
957	[957] cluster gst-5	WBGene00010848	M04B2.6	2257.21	0.741	True	PHB WBbt:0007808	URB WBbt:0006845; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; LUA WBbt:0008031; PHB WBbt:0007808; PHA WBbt:0007807; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; RMF WBbt:0006841; nervous system WBbt:0005735; PDE WBbt:0006747; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; striated muscle WBbt:0005779; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
957	[957] cluster gst-5	WBGene00015626	C09B9.1	411.73	0.712	True	PHB WBbt:0007808	SMD WBbt:0005353; nociceptor neuron WBbt:0008434; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; pharynx WBbt:0003681; mc3 WBbt:0003707; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; NSM WBbt:0003666; PVT WBbt:0004070; preanal ganglion WBbt:0005448
957	[957] cluster gst-5	WBGene00005207	srg-50	110.39	0.704	False	PHB WBbt:0007808	lateral ganglion right WBbt:0005101; PLM WBbt:0005490; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASE WBbt:0005663
957	[957] cluster gst-5	WBGene00010575	flp-25	3469.86	0.702	True	PHB WBbt:0007808	PVC WBbt:0005840; GLR WBbt:0005176; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; LUA WBbt:0008031; AVD WBbt:0006818; ADA WBbt:0006811; PHB WBbt:0007808; PHA WBbt:0007807; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; OLL WBbt:0006847; PQR WBbt:0004096; AQR WBbt:0003927; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; PDE WBbt:0006747; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
957	[957] cluster gst-5	WBGene00235287	Y55F3C.17	183.65	0.693	True	PHB WBbt:0007808	PHB WBbt:0007808; PHA WBbt:0007807; nervous system WBbt:0005735
957	[957] cluster gst-5	WBGene00001779	gst-31	377.69	0.685	False	PHB WBbt:0007808	I5 neuron WBbt:0004740; hyp1 WBbt:0004694; hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; PLM WBbt:0005490; epithelial system WBbt:0005730; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RID WBbt:0003938; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; ASG WBbt:0005664; CEPsoDL WBbt:0004921; ASE WBbt:0005663
957	[957] cluster gst-5	WBGene00008522	nlp-59	1114.28	0.678	False	PHB WBbt:0007808	PVC WBbt:0005840; XXX cell WBbt:0007855; SIB WBbt:0005359; VB10 WBbt:0004625; AVE WBbt:0006819; SIA WBbt:0005361; nociceptor neuron WBbt:0008434; ABalpapaap WBbt:0006023; M3 neuron WBbt:0003754; RIA WBbt:0006833; VA10 WBbt:0004649; VB2 WBbt:0004641; AVL WBbt:0003843; ABprpapppa WBbt:0005972; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; AVG WBbt:0003850; anchor cell WBbt:0004522; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; ADA WBbt:0006811; ABarappaap WBbt:0006103; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; PQR WBbt:0004096; AVK WBbt:0006823; AQR WBbt:0003927; SMB WBbt:0005355; M5 neuron WBbt:0004465; VA3 WBbt:0004868; RIP WBbt:0006838; ABplpappaa WBbt:0006551; VB3 WBbt:0004639; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; PDA WBbt:0004386; PVP WBbt:0006832; VB1 WBbt:0004643; ALA WBbt:0003955; VB11 WBbt:0004623; I2 neuron WBbt:0003645; PVT WBbt:0004070; RIR WBbt:0005047; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
957	[957] cluster gst-5	WBGene00003839	ocr-2	267.41	0.666	True	PHB WBbt:0007808	PHC WBbt:0008446; SMD WBbt:0005353; OLQ WBbt:0006848; ADE WBbt:0005415; AVE WBbt:0006819; SIA WBbt:0005361; nociceptor neuron WBbt:0008434; URY WBbt:0005346; URA WBbt:0005225; URX WBbt:0006846; AVJ WBbt:0006822; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; LUA WBbt:0008031; PHB WBbt:0007808; PHA WBbt:0007807; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; AQR WBbt:0003927; AWA WBbt:0005670; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; RIG WBbt:0006836; sex organ WBbt:0008422; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; uv1 WBbt:0006791; AIY WBbt:0005413; outer labial quadrant sensillum WBbt:0005502; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
957	[957] cluster gst-5	WBGene00045386	nlp-76	6050.5	0.63	False	PHB WBbt:0007808	nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; osmosensory neuron WBbt:0008433; gonadal primordium WBbt:0008366; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103
957	[957] cluster gst-5	WBGene00001787	gst-39	1738.23	0.613	False	PHB WBbt:0007808	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; CEP WBbt:0005244; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; ADF WBbt:0005660; VD12 WBbt:0004587; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; g1AL WBbt:0004532; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; AWA WBbt:0005670; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
957	[957] cluster gst-5	WBGene00007506	fbxc-58	347.83	0.61	False	PHB WBbt:0007808	dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; BDU WBbt:0006826; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ALM WBbt:0005406; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
