node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
963	[963] cluster rgef-1	WBGene00009100	rgef-1	4922.46	0.836	True	I5 neuron WBbt:0004740	PHC WBbt:0008446; hook sensillum WBbt:0006930; PVM WBbt:0004086; I5 neuron WBbt:0004740; excretory system WBbt:0005736; AVF WBbt:0003851; AVA WBbt:0005842; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DB6 WBbt:0004841; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; AVM WBbt:0003832; DB7 WBbt:0004840; ray WBbt:0006941; nervous system WBbt:0005735; AS1 WBbt:0003925; RIP WBbt:0006838; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; PVW WBbt:0008438; VB1 WBbt:0004643; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; uv1 WBbt:0006791; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
963	[963] cluster rgef-1	WBGene00012856	Y44A6D.6	358.98	0.636	False	I5 neuron WBbt:0004740	hook sensillum WBbt:0006930; RME WBbt:0005399; URB WBbt:0006845; AVE WBbt:0006819; URA WBbt:0005225; I6 neuron WBbt:0004739; RIB WBbt:0005834; AVL WBbt:0003843; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DVB WBbt:0004822; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMDL WBbt:0005037; ray WBbt:0006941; I1 neuron WBbt:0003649; RMDVR WBbt:0005029; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; RID WBbt:0003938; lateral ganglion left WBbt:0005103; NSM WBbt:0003666; I3 neuron WBbt:0004742; male WBbt:0007850; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
963	[963] cluster rgef-1	WBGene00010145	F56C4.2	228.44	0.623	False	I5 neuron WBbt:0004740	anterior ganglion WBbt:0005375; IL1L WBbt:0004553
963	[963] cluster rgef-1	WBGene00019870	R04E5.7	522.16	0.583	False	I5 neuron WBbt:0004740	SMD WBbt:0005353; AIM WBbt:0006814; XXX cell WBbt:0007855; AVE WBbt:0006819; AVA WBbt:0005842; URX WBbt:0006846; AUA WBbt:0006817; AVJ WBbt:0006822; RIB WBbt:0005834; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; VA12 WBbt:0004645; AVH WBbt:0006821; BAG WBbt:0006825; PVD WBbt:0006831; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; RMDL WBbt:0005037; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; AVB WBbt:0005841; AWB WBbt:0005671; RIH WBbt:0003928; NSM WBbt:0003666; ASE WBbt:0005663; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
963	[963] cluster rgef-1	WBGene00010632	K07C5.9	2937.15	0.542	True	I5 neuron WBbt:0004740	M4 neuron WBbt:0004467; I5 neuron WBbt:0004740; URX WBbt:0006846; AUA WBbt:0006817; ASJ WBbt:0005667; AWC-ON WBbt:0005832; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ASI WBbt:0005666; somatic nervous system WBbt:0005760; PLM WBbt:0005490; I4 neuron WBbt:0004741; nervous system WBbt:0005735; AWCR WBbt:0003826; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; AWB WBbt:0005671; RIR WBbt:0005047; AWCL WBbt:0003827; ASE WBbt:0005663
963	[963] cluster rgef-1	WBGene00018774	F53G12.9	1860.19	0.538	True	I5 neuron WBbt:0004740	I5 neuron WBbt:0004740; AVJ WBbt:0006822; AIA WBbt:0006812; ABplapapppp WBbt:0006209; lateral ganglion right WBbt:0005101; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; g2 WBbt:0003710; M5 neuron WBbt:0004465; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; ABprapapppp WBbt:0006021; ABaraapapaa WBbt:0006455; reproductive system WBbt:0005747
963	[963] cluster rgef-1	WBGene00010144	F56C4.1	881.14	0.527	True	I5 neuron WBbt:0004740	IL socket cell WBbt:0008418; M4 neuron WBbt:0004467; I5 neuron WBbt:0004740; ABalapppaa WBbt:0006703; IL1VR WBbt:0004547; URX WBbt:0006846; IL1R WBbt:0004551; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; IL1DR WBbt:0004737; AVL WBbt:0003843; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; OLL WBbt:0006847; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; I1 neuron WBbt:0003649; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; IL1DL WBbt:0004738; phasmid sheath cell WBbt:0006755; IL1L WBbt:0004553; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
963	[963] cluster rgef-1	WBGene00012214	W02D9.8	32.63	0.515	False	I5 neuron WBbt:0004740	corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVH WBbt:0006821; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ABaraappaa WBbt:0006636; NSM WBbt:0003666
963	[963] cluster rgef-1	WBGene00017741	F23C8.13	881.14	0.476	True	I5 neuron WBbt:0004740	PVC WBbt:0005840; XXX cell WBbt:0007855; URB WBbt:0006845; ADE WBbt:0005415; AVE WBbt:0006819; HSN WBbt:0006830; I5 neuron WBbt:0004740; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; CEP WBbt:0005244; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; DA9 WBbt:0004857; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; AIZ WBbt:0005836; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PDA WBbt:0004386; ABplppaaaap WBbt:0006414; PVP WBbt:0006832; VB1 WBbt:0004643; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
963	[963] cluster rgef-1	WBGene00007208	B0564.9	676.55	0.428	False	I5 neuron WBbt:0004740	nervous system WBbt:0005735; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
